File Name,Path,Instrument Method,Position,Inj Vol,Comment,Sample Name
20240424_UWPRLumos_TPcorals_coral57,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B1,4,5 DDA,
20240424_UWPRLumos_TPcorals_blank14,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F7,3,blank2,
20240424_UWPRLumos_TPcorals_coral58,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B2,4,3 DDA,
20240424_UWPRLumos_TPcorals_coral59,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B3,4,7 DDA,
20240424_UWPRLumos_TPcorals_coral60,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B4,4,4 DDA,
20240424_UWPRLumos_TPcorals_coral61,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B5,4,9 DDA,
20240424_UWPRLumos_TPcorals_QC11,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A2,3,QC2,
20240424_UWPRLumos_TPcorals_blank15,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F7,3,blank2,
20240424_UWPRLumos_TPcorals_coral62,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B6,4,8 DDA,
20240424_UWPRLumos_TPcorals_coral63,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B7,4,10 DDA,
20240424_UWPRLumos_TPcorals_coral64,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,B8,4,13 DDA,
20240424_UWPRLumos_TPcorals_coral65,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,C1,4,12 DDA,
20240424_UWPRLumos_TPcorals_blank16,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_5_80%B_30min_OTMS2_75min_Blank.method_MM,F7,3,blank2,
20240424_UWPRLumos_TPcorals_coral66,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,C2,4,15 DDA,
