"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.g35463.t2",4288560,1466100,2058640,3963080,1785810,3543020,3944310,4366540,4665510,2176200,1843160,2959630,5186070,3907770,3503220,1282770,1337720,3935380,1638150,4657610,4547330,3339880,3266570,3014450,4721790,2603300,1487760,2891960,4587050,5175040,5272540,3142990,5879710,932663,2889050,3119470
"Montipora_capitata_HIv3___RNAseq.g35464.t1",836272,1701540,1677240,2612320,1248240,1895790,2000570,2136900,305366,1832320,1347470,1392900,NA,1606980,2039100,1225450,1485430,2103260,1575560,1294850,1468640,1889380,1133470,1868440,1443200,2302100,894425,1572420,1871880,1682610,801015,1999920,1010220,1369120,NA,2535980
"Montipora_capitata_HIv3___RNAseq.g35469.t1",8791570,4057250,3805920,6288760,3395910,8104330,7047080,6918830,7987050,5328480,1582770,4793390,8144080,7228710,5374520,2917360,3606160,6760830,3233200,5464800,5601040,5727190,7261590,3273060,7811570,5705880,3226120,6479620,7364130,9528410,8027520,6958860,6471060,2601020,5857400,8234500
"Montipora_capitata_HIv3___RNAseq.g35474.t1",76323900,66449100,66914600,82003500,64921700,98463900,81499500,76695100,63645900,91068800,59579500,88742300,70967800,69321200,92168400,78702200,101887000,68280100,70689600,67363700,65931100,71146500,67891000,79017100,80347000,77734200,81443000,75518100,75253900,80886900,68313700,87311300,73065900,63240300,91780300,83135800
"Montipora_capitata_HIv3___RNAseq.g35476.t1",13789700,13373300,13089800,12748300,14214700,15216500,10912000,9735350,8407700,10108300,16950600,11664400,9787470,11877800,15972600,14991400,16350500,10274900,14487800,10467600,9356560,9818240,13117600,12798000,10636100,9356430,13605800,13320900,10033300,8491430,12905400,12431200,9881850,11028600,14778300,13806000
"Montipora_capitata_HIv3___RNAseq.g35477.t1",NA,NA,NA,NA,326452,448105,NA,572364,408290,NA,NA,385200,422827,585356,NA,NA,NA,435663,NA,428815,NA,NA,565766,NA,631098,NA,289262,370769,NA,403460,637266,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35478.t1",630030,829107,898102,553494,1273960,997948,1341830,1136340,NA,1120670,951412,1110450,NA,691865,NA,1243350,900857,597061,1210150,NA,NA,848348,NA,971987,NA,NA,975554,1154660,NA,NA,NA,902435,NA,907708,895729,NA
"Montipora_capitata_HIv3___RNAseq.g35489.t1",NA,NA,NA,NA,1475960,NA,2359420,799768,NA,940007,NA,1107610,NA,872445,NA,NA,NA,NA,NA,NA,NA,701633,NA,NA,NA,NA,635075,1272320,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g355.t1",13433400,4139610,6284740,11093100,5099910,12119500,7879820,13964800,15124200,6975730,4562540,9597940,18945000,15578800,8742950,3501750,5763380,13823700,7008570,17254800,14923500,10212000,18806900,9259750,20354100,10528200,5987890,10926000,15223200,16575000,14077500,15363600,14740400,4182170,12750800,10347800
"Montipora_capitata_HIv3___RNAseq.g35500.t2",2207560,2107300,1966280,2768790,1899130,2323970,2052420,2985170,2573920,1663240,2391370,2245320,2642430,2426470,2474040,2784970,1925070,2806200,1522310,2316530,2364750,1975010,2238290,2556310,2576930,2056890,1480430,2229710,1529410,2740090,2855330,2769530,2868990,1498510,2035330,1690010
"Montipora_capitata_HIv3___RNAseq.g35517.t1",413964,2038200,979530,910132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35518.t1;Montipora_capitata_HIv3___RNAseq.g47195.t1;Montipora_capitata_HIv3___RNAseq.g47196.t1;Montipora_capitata_HIv3___RNAseq.g47201.t1;Montipora_capitata_HIv3___TS.g1473.t1",151244000,274672000,349082000,228558000,471940000,233642000,224100000,225113000,76657300,325145000,270166000,272196000,48800800,138615000,273730000,261128000,320488000,132557000,286657000,107110000,116776000,226034000,91599000,331163000,102747000,298201000,370355000,361309000,93897200,138145000,44616600,223612000,113284000,345141000,296298000,171946000
"Montipora_capitata_HIv3___RNAseq.g35519.t1",NA,NA,NA,277391,NA,245766,123463,382801,181211,NA,NA,NA,329743,304412,NA,NA,NA,288092,NA,NA,NA,217995,213488,253746,NA,168181,NA,188527,NA,NA,NA,107181,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35521.t1",NA,NA,1381630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2327260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3415440,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35524.t1",3370140,925684,1312040,2406200,1097200,1633130,NA,3028070,2250540,NA,NA,NA,NA,2203150,3016880,574881,NA,1570260,NA,NA,2740060,1299850,2355830,NA,NA,NA,1005630,1443830,NA,NA,NA,1966950,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35525.t1",NA,1294640,NA,1551910,2369470,907534,NA,NA,659630,1758970,984385,1274510,NA,1888570,1911050,1937580,2010140,NA,1083220,NA,NA,953576,1855780,1157060,NA,1028150,2914830,1960780,NA,NA,NA,845374,NA,2024820,1912710,NA
"Montipora_capitata_HIv3___RNAseq.g35526.t1",1044780,NA,434930,886276,425384,1010530,892344,883356,775996,520192,NA,720585,609013,733401,1001130,446478,494590,725364,NA,NA,967386,1215980,NA,NA,NA,668357,467835,924192,866769,528877,357152,952541,786297,501061,NA,1082860
"Montipora_capitata_HIv3___RNAseq.g35530.t1",NA,NA,NA,1036330,528974,1145020,852358,1271310,1149500,650214,NA,493781,487599,711539,842963,844692,676297,864071,464574,NA,1128500,572052,592607,457443,NA,672505,558497,859518,NA,1268430,337681,793550,1148180,1016280,988510,733966
"Montipora_capitata_HIv3___RNAseq.g35531.t1",4469820,4172870,3924150,4578490,4167050,3581470,4980600,4792810,2663900,3395280,4309460,4319700,3254330,4330980,5468140,3732320,4071470,3523570,3607180,2622540,4865520,4582770,4617120,4598120,3178930,4451350,4190810,5343090,4038500,5139450,3821520,3765710,4178670,3008580,7097060,3447580
